"res_type","state_fips","station_id","direct_of_travel","lane_of_travel","year","func_class_code","num_lanes_direc_indicated","sample_type_for_traffic_vol","num_lanes_monitored_for_traffic_vol","method_of_traffic_vol_counting","sample_type_for_vehicle_class","num_lanes_monitored_for_vehicle_class","method_of_vehicle_class","alg_for_vehicle_class","class_sys_for_vehicle_class","sample_type_for_truck_weight","num_lanes_monitored_for_truck_weight","method_of_truck_weighing","calibration_of_weighing_sys","method_of_data_retrieval","type_of_sensor","second_type_of_sensor","primary_purpose","lrs_identification","lrs_location_point","latitude","longitude","shrp_site_identification","prev_station_id","year_station_established","year_station_discontinued","fips_county_code","hpms_sample_type","hpms_sample_identifier","national_highway_sys","posted_route_sign","posted_sign_route_num","concurrent_route_signing","concurrent_signed_route_num","station_location"
S,37,0W2301,3,3,13,02,2,T,2,3,H,2,3,G,15,B,2,5,C,2,P,L,R,002000007423,035205,34342400,078631200,1645,      ,04,  ,047,N,            ,Y,2,00000074,2,00000076,1.60 MILES EAST OF US 74 BUS (RED HILL RD)        
S,37,0W2301,3,4,13,02,2,T,2,3,H,2,3,G,15,B,2,5,C,2,P,L,R,002000007423,035205,34342400,078631200,1645,      ,04,  ,047,N,            ,Y,2,00000074,2,00000076,1.60 MILES EAST OF US 74 BUS (RED HILL RD)        
S,37,0W2301,7,1,13,02,2,T,2,3,H,2,3,G,15,B,2,5,C,2,P,L,R,002000007423,035205,34342400,078631200,1645,      ,04,  ,047,N,            ,Y,2,00000074,2,00000076,1.60 MILES EAST OF US 74 BUS (RED HILL RD)        
S,37,0W2301,7,2,13,02,2,T,2,3,H,2,3,G,15,B,2,5,C,2,P,L,R,002000007423,035205,34342400,078631200,1645,      ,04,  ,047,N,            ,Y,2,00000074,2,00000076,1.60 MILES EAST OF US 74 BUS (RED HILL RD)        
S,37,0W1805,3,3,13,02,2,T,2,3,H,2,3,G,15,T,2,5,C,2,P,L,P,002000006418,029009,35729300,079227800,1805,      ,03,  ,037,Y,000000100428,Y,2,00000064,0,00000000,1.50 MILES WEST OF NC 87                          
S,37,0W1805,3,4,13,02,2,T,2,3,H,2,3,G,15,T,2,5,C,2,P,L,P,002000006418,029009,35729300,079227800,1805,      ,03,  ,037,Y,000000100428,Y,2,00000064,0,00000000,1.50 MILES WEST OF NC 87                          
S,37,0W1805,7,1,13,02,2,T,2,3,H,2,3,G,15,T,2,5,C,2,P,L,P,002000006418,029009,35729300,079227800,1805,      ,03,  ,037,Y,000000100428,Y,2,00000064,0,00000000,1.50 MILES WEST OF NC 87                          
S,37,0W1805,7,2,13,02,2,T,2,3,H,2,3,G,15,T,2,5,C,2,P,L,P,002000006418,029009,35729300,079227800,1805,      ,03,  ,037,Y,000000100428,Y,2,00000064,0,00000000,1.50 MILES WEST OF NC 87                          
S,37,0W1401,1,1,13,02,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000001714,011105,36514600,076359000,1028,      ,04,12,029,N,            ,Y,2,00000017,0,00000000,0.50 MILES NORTH OF SR 1231 (MCPHERSON RD)        
S,37,0W1401,1,2,13,02,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000001714,011105,36514600,076359000,1028,      ,04,12,029,N,            ,Y,2,00000017,0,00000000,0.50 MILES NORTH OF SR 1231 (MCPHERSON RD)        
S,37,0W1401,5,1,13,02,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000001714,011105,36514600,076359000,1028,      ,04,11,029,N,            ,Y,2,00000017,0,00000000,0.50 MILES NORTH OF SR 1231 (MCPHERSON RD)        
S,37,0W1401,5,2,13,02,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000001714,011105,36514600,076359000,1028,      ,04,11,029,N,            ,Y,2,00000017,0,00000000,0.50 MILES NORTH OF SR 1231 (MCPHERSON RD)        
S,37,0W1701,1,3,13,12,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000032117,021993,35720200,081355900,1701,      ,03,09,035,Y,000000100651,Y,2,00000321,0,00000000,0.10 MILES SOUTH OF US 70                         
S,37,0W1701,1,4,13,12,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000032117,021993,35720200,081355900,1701,      ,03,09,035,Y,000000100651,Y,2,00000321,0,00000000,0.10 MILES SOUTH OF US 70                         
S,37,0W1701,5,1,13,12,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000032117,021993,35720200,081355900,1701,      ,03,09,035,Y,000000100651,Y,2,00000321,0,00000000,0.10 MILES SOUTH OF US 70                         
S,37,0W1701,5,2,13,12,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000032117,021993,35720200,081355900,1701,      ,03,09,035,Y,000000100651,Y,2,00000321,0,00000000,0.10 MILES SOUTH OF US 70                         
S,37,0W1803,1,3,13,02,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000042118,025773,35711400,079429000,2824,      ,03,11,037,N,            ,Y,2,00000421,0,00000000,1.60 MILES SOUTH OF US 64                         
S,37,0W1803,1,4,13,02,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000042118,025773,35711400,079429000,2824,      ,03,11,037,N,            ,Y,2,00000421,0,00000000,1.60 MILES SOUTH OF US 64                         
S,37,0W1803,5,1,13,02,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000042118,025773,35711400,079429000,2824,      ,03,11,037,N,            ,Y,2,00000421,0,00000000,1.60 MILES SOUTH OF US 64                         
S,37,0W1803,5,2,13,02,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000042118,025773,35711400,079429000,2824,      ,03,11,037,N,            ,Y,2,00000421,0,00000000,1.60 MILES SOUTH OF US 64                         
